Date,Open,High,Low,Close*,Adj Close**,Volume,ATR_14,EMA_10,RSI_14
2023-01-20,33073.46,33381.95,32948.93,33375.49,33375.49,367330000,492.6328571428582,33740.044443247905,42.504401835600206
2023-01-19,33171.35,33227.49,32982.05,33044.56,33044.56,319770000,487.75214285714327,33613.59272629374,29.862357336563335
2023-01-18,33948.49,34016.53,33269.9,33296.96,33296.96,351670000,513.9000000000004,33556.02313969487,31.231798951270406
2023-01-17,34222.32,34269.97,33860.67,33910.85,33910.85,353050000,549.6071428571433,33620.5371142958,50.37576602832555
2023-01-13,34075.31,34342.32,33915.49,34302.61,34302.61,274110000,554.3035714285719,33744.550366242016,56.28634764203536
2023-01-12,34047.86,34292.67,33792.1,34189.97,34189.97,308190000,567.1714285714291,33825.53575419801,52.28231362140067
2023-01-11,33754.03,33974.69,33711.04,33973.01,33973.01,301650000,547.5750000000007,33852.34925343474,48.100873012606016
2023-01-10,33516.43,33726.54,33421.8,33704.1,33704.1,268260000,556.2100000000007,33825.39484371933,44.416114525646044
2023-01-09,33664.39,33935.11,33487.66,33517.65,33517.65,327840000,560.2521428571433,33769.44123577036,46.9198645877092
2023-01-06,33055.3,33710.66,32997.39,33630.61,33630.61,360740000,579.2542857142861,33744.19919290302,44.37657995332562
2023-01-05,33191.72,33191.72,32812.33,32930.08,32930.08,337920000,613.24,33596.1775214661,36.44994483363685
2023-01-04,33165.14,33409.1,33033.48,33269.77,33269.77,379400000,599.1557142857138,33536.83069938135,43.91511165533298
2023-01-03,33148.9,33387.52,32850.57,33136.37,33136.37,355930000,603.7692857142849,33464.019663130195,42.56542066539109
2022-12-30,33121.61,33152.55,32847.82,33147.25,33147.25,295500000,592.2049999999997,33406.4251789247,43.856659202592304
2022-12-29,33021.43,33293.42,33020.35,33220.8,33220.8,243060000,563.0935714285713,33372.67514639293,47.934685376306824
2022-12-28,33264.76,33379.55,32869.15,32875.71,32875.71,252260000,571.4478571428574,33282.31784704876,47.75412265137228
2022-12-27,33224.23,33387.72,33069.58,33241.56,33241.56,246010000,538.5935714285717,33274.90732940353,49.284710888921
2022-12-23,32961.06,33226.14,32814.02,33203.93,33203.93,221050000,499.63142857142884,33262.00236042107,39.27706822801322
2022-12-22,33233.35,33233.35,32573.43,33027.49,33027.49,340640000,515.9492857142858,33219.36374943542,29.30658426864167
2022-12-21,33028.09,33437.84,33028.09,33376.48,33376.48,328020000,508.7949999999998,33247.93034044716,37.73878390151116
2022-12-20,32735.24,32992.23,32649.45,32849.74,32849.74,303970000,526.5164285714285,33175.53209672949,34.51563365875306
2022-12-19,32921.45,33038.94,32581.97,32757.54,32757.54,326430000,519.7850000000001,33099.53353368776,36.283329469047075
2022-12-15,33773.0,33773.0,33016.16,33202.22,33202.22,394290000,560.3571428571431,33118.203800289986,45.74735144783922
2022-12-14,34086.07,34395.65,33704.17,33966.35,33966.35,339090000,594.6542857142857,33272.41220023726,53.85040598192575
2022-12-13,34268.44,34712.28,33890.88,34108.64,34108.64,442650000,594.877142857143,33424.45361837594,65.50100485064024
2022-12-12,33519.5,34005.04,33519.5,34005.04,34005.04,313440000,602.7428571428575,33530.01477867122,60.31098284377661
2022-12-09,33746.71,33844.63,33462.65,33476.46,33476.46,287630000,603.1314285714291,33520.27754618554,54.29336093822978
2022-12-08,33695.97,33899.17,33642.46,33781.48,33781.48,271830000,611.5585714285717,33567.76890142453,57.45312929662805
2022-12-07,33556.4,33774.27,33503.67,33597.92,33597.92,359980000,611.8971428571434,33573.250919347345,54.32001466275652
2022-12-06,33936.87,34006.63,33418.59,33596.34,33596.34,306220000,617.4428571428577,33577.44893401146,58.960184418432824
2022-12-05,34335.73,34335.73,33846.81,33947.1,33947.1,312960000,633.6842857142866,33644.658218736644,58.805601317957134
2022-12-02,34265.45,34483.21,34039.73,34429.88,34429.88,290580000,641.4392857142866,33787.42581532998,63.770541521111475
2022-12-01,34533.59,34595.51,34129.35,34395.01,34395.01,348720000,627.599285714287,33897.89566708817,65.86531099035217
2022-11-30,33795.43,34589.77,33583.77,34589.77,34589.77,524440000,670.1457142857156,34023.69100034486,64.5984286075248
2022-11-29,33847.8,33933.91,33662.45,33852.53,33852.53,279750000,684.452142857144,33992.57081846397,61.483950023476616
2022-11-28,34275.91,34303.88,33799.35,33849.46,33849.46,300330000,687.8492857142867,33966.55066965234,62.76526098220213
2022-11-25,34213.04,34386.51,34199.57,34347.03,34347.03,131660000,653.6771428571441,34035.72872971555,63.22009510809941
2022-11-23,34091.57,34262.07,34004.64,34194.06,34194.06,236820000,592.8885714285726,34064.51623340363,53.06172939104244
2022-11-22,33810.05,34115.7,33810.05,34098.1,34098.1,277070000,561.6464285714293,34070.62237278478,49.85649398745206
2022-11-21,33760.3,33864.59,33559.18,33700.28,33700.28,352960000,558.0592857142864,34003.28739591482,46.158364720890226
2022-11-18,33606.59,33827.94,33540.64,33745.69,33745.69,312950000,539.8385714285723,33956.45150574849,53.864504775547864
2022-11-17,33329.27,33616.02,33239.75,33546.32,33546.32,319210000,545.7835714285726,33881.88214106694,46.51895361368018
2022-11-16,33554.93,33682.83,33516.99,33553.83,33553.83,301560000,537.7857142857154,33822.23629723659,49.3114530854211
2022-11-15,33755.94,33987.06,33320.2,33592.92,33592.92,390610000,543.4157142857154,33780.54242501175,49.94720886150201
2022-11-14,33662.05,33964.3,33533.96,33536.7,33536.7,354340000,521.3407142857151,33736.20743864597,43.03140621603995
2022-11-11,33797.75,33817.96,33394.43,33747.86,33747.86,427790000,513.2992857142864,33738.32608616488,37.24251969682236
2022-11-10,33263.91,33727.73,33167.82,33715.37,33715.37,480130000,521.4335714285719,33734.15225231672,37.27570919330199
2022-11-09,33004.47,33065.11,32478.87,32513.94,32513.94,355200000,537.8978571428579,33512.29547916823,21.775156296314506
2022-11-08,32934.56,33355.39,32831.46,33160.83,33160.83,335340000,531.7642857142865,33448.392664774,40.35813056181287
2022-11-07,32454.1,32895.59,32424.99,32827.0,32827.0,336300000,548.2864285714295,33335.41218026963,36.95082854313229
2022-11-04,32265.01,32611.52,31938.92,32403.22,32403.22,422370000,573.3600000000008,33165.92269294788,24.715850704877695
2022-11-03,31985.05,32185.71,31727.05,32001.25,32001.25,354440000,597.2014285714296,32954.16402150281,23.212222051195724
2022-11-02,32576.28,33071.93,32139.77,32147.76,32147.76,398430000,646.2492857142871,32807.545108502294,26.46495216581239
2022-11-01,32862.79,32975.48,32485.23,32653.2,32653.2,323210000,666.877857142859,32779.482361501876,37.68459928018637
2022-10-31,32754.27,32883.86,32586.93,32732.95,32732.95,390890000,667.565714285716,32771.0219321379,38.18394377240145
2022-10-28,32204.31,32889.81,32158.38,32861.8,32861.8,495830000,683.6721428571442,32787.52703538555,41.879798430338006
2022-10-27,32062.14,32388.42,31993.21,32033.28,32033.28,375720000,733.8685714285727,32650.391210769994,34.90298713445185
2022-10-26,31738.44,32172.42,31738.44,31839.11,31839.11,430400000,717.2342857142869,32502.88553608454,33.10723731990507
2022-10-25,31463.65,31876.15,31423.53,31836.74,31836.74,336930000,718.8257142857154,32381.768165887348,33.45428213254026
2022-10-24,31187.32,31603.63,31161.41,31499.62,31499.62,345040000,736.8114285714299,32221.377590271466,28.641566219276825
2022-10-21,30291.18,31119.27,30206.28,31082.56,31082.56,418190000,787.7614285714299,32014.319846585742,26.691266694878834
2022-10-20,30411.92,30822.96,30265.2,30333.59,30333.59,333190000,757.8228571428582,31708.73260175197,29.0158472290929
2022-10-19,30439.04,30662.11,30226.9,30423.81,30423.81,314030000,728.8057142857152,31475.11031052434,20.497093925701137
2022-10-18,30697.52,30837.9,30301.83,30523.8,30523.8,387130000,714.5364285714295,31302.144799519912,23.85531883979006
2022-10-17,30059.58,30311.95,29997.62,30185.82,30185.82,369820000,688.6864285714294,31099.176654152656,24.3292304557621
